loss,accuracy,val_loss,val_accuracy
2.7095744609832764,0.2333984375,1.9661260843276978,0.3263598382472992
1.9033063650131226,0.3564453125,1.6429736614227295,0.4748953878879547
1.7161335945129395,0.4384765625,1.5414334535598755,0.5282427072525024
1.559875249862671,0.4841584265232086,1.433083415031433,0.5387029051780701
1.3552558422088623,0.564453125,1.344033122062683,0.5418410301208496
1.2836525440216064,0.5986328125,1.2662657499313354,0.5920501947402954
1.3025153875350952,0.5673828125,1.3088977336883545,0.5585774183273315
1.1982457637786865,0.60792076587677,1.1362494230270386,0.642259418964386
1.1687216758728027,0.619140625,1.108028531074524,0.6380752921104431
1.0202479362487793,0.6708984375,1.0110136270523071,0.676778256893158
1.020807147026062,0.6708984375,1.094990611076355,0.6276150345802307
0.980849027633667,0.6742573976516724,0.9876279830932617,0.6799163222312927
0.9162864089012146,0.7041015625,0.9555676579475403,0.6861924529075623
0.9807972311973572,0.677734375,1.0526270866394043,0.6485355496406555
0.9381557703018188,0.6930692791938782,1.0084319114685059,0.6715481281280518
0.8034043312072754,0.7373046875,0.9169753193855286,0.7050209045410156
0.8351741433143616,0.7314453125,0.8693863153457642,0.7092050313949585
0.8853684067726135,0.6962890625,0.8834366202354431,0.7081589698791504
0.7892918586730957,0.7504950761795044,0.9080297350883484,0.6872385144233704
0.7808358073234558,0.7431640625,0.9592597484588623,0.6778242588043213
0.8138359785079956,0.7294921875,0.9994590282440186,0.6401673555374146
0.7344227433204651,0.767578125,0.9644919633865356,0.6631799340248108
